"MODEL";"SCENARIO";"YEAR";"REGION";"PERIOD";"VARIABLE";"TECH";"VALUE";"UNIT"
"DIETER";"baseline";"2030";"DEU";"annual";"Net electricity demand";"all Tech";570680549.535651;"MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Model Status";"all Tech";1;"0/1"
"DIETER";"baseline";"2030";"DEU";"annual";"Total Time Taken";"all Tech";36.749;"minutes"
"DIETER";"baseline";"2030";"DEU";"annual";"Total system cost";"all Tech";39632966769.8922;"billionUSD"
"DIETER";"baseline";"2030";"DEU";"annual";"load-weighted price for fixed demand";"all Tech";69.3549896023663;"USD/MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Gross electricity demand";"all Tech";570680549.535651;"MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Total conventional generation share";"all Tech";0.852918206426226;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total renewable generation share";"all Tech";0.397081793573813;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Absolute non-utilized bioelectricity";"all Tech";23216093.5658901;"MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Relative non-utilized bioelectricity";"all Tech";0.386934892764835;"% of total maximum allowable capacity"
"DIETER";"baseline";"2030";"DEU";"annual";"Maximum wholesale electricity price";"all Tech";171.513214390839;"USD/MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Mean wholesale electricity price";"all Tech";68.8573366684869;"USD/MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Minimum wholesale electricity price";"all Tech";66.5058731813797;"USD/MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity";"all Tech";218493.583808069;"MW"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand";"all Tech";570680549.535651;"MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Net VRE share";"Wind_on";0.239395821893575;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Net VRE share";"Solar PV";0.0932297597696691;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Conventional installed capacity";"Lignite";65269.0510900389;"MW"
"DIETER";"baseline";"2030";"DEU";"annual";"Conventional installed capacity";"CCGT";17553.2923956851;"MW"
"DIETER";"baseline";"2030";"DEU";"annual";"Conventional installed capacity";"OCGT_eff";2093.40046126429;"MW"
"DIETER";"baseline";"2030";"DEU";"annual";"Renewable installed capacity";"Biomass";4940.08950229785;"MW"
"DIETER";"baseline";"2030";"DEU";"annual";"Renewable installed capacity";"Wind_on";71986.1341666667;"MW"
"DIETER";"baseline";"2030";"DEU";"annual";"Renewable installed capacity";"Solar PV";56019.5497690664;"MW"
"DIETER";"baseline";"2030";"DEU";"annual";"Storage installed capacity - power";"Lithium-ion";632.066423049432;"MW"
"DIETER";"baseline";"2030";"DEU";"annual";"Conventional generation share";"Lignite";0.85160315138108;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Conventional generation share";"CCGT";0.00131505504514613;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Renewable generation share";"Biomass";0.064456211910569;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Renewable generation share";"Wind_on";0.239395821893575;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Renewable generation share";"Solar PV";0.0932297597696691;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"load-weighted price for flex demand";"Electrolysis";66.5058731813798;"USD/MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Market value";"Lignite";69.2002582162657;"USD/MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Market value";"CCGT";143.349388657903;"USD/MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Market value";"Biomass";69.2709112854187;"USD/MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Market value";"Wind_on";67.4547645144035;"USD/MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Market value";"Solar PV";67.0221426549444;"USD/MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"capacity factor conventional";"Lignite";65226960.0000024;"-"
"DIETER";"baseline";"2030";"DEU";"annual";"capacity factor conventional";"CCGT";374526.473649957;"-"
"DIETER";"baseline";"2030";"DEU";"annual";"capacity factor conventional";"Biomass";65226960.0000002;"-"
"DIETER";"baseline";"2030";"DEU";"annual";"capacity factor renewable";"Wind_on";16625123.952;"-"
"DIETER";"baseline";"2030";"DEU";"annual";"capacity factor renewable";"Solar PV";8319785.472;"-"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Run-of-River";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Nuclear";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Lignite";0.298722965548804;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Hard coal";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"CCGT";0.0803377944022286;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"OCGT_eff";0.0095810624883007;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"OCGT_ineff";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Biomass";0.0226097702032796;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Wind_on";0.32946566727742;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Wind_off";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Solar PV";0.256389908624362;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Lithium-ion";0.00289283845560537;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Lead acid";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Sodium-sulfur";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Redox flow";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Pumped hydro";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Compressed air";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total installed capacity share";"Power-to-gas";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Run-of-River";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Nuclear";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Lignite";0.85160315238108;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Hard coal";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"CCGT";0.00131505604514613;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"OCGT_eff";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"OCGT_ineff";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Biomass";0.064456212910569;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Wind_on";0.239395822893575;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Wind_off";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Solar PV";0.0932297607696691;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Lithium-ion";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Lead acid";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Sodium-sulfur";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Redox flow";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Pumped hydro";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Compressed air";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total electricity demand share";"Power-to-gas";1e-09;"%"
"DIETER";"baseline";"2030";"DEU";"annual";"Total Renewable Generation";"Wind_on";136618539.194764;"MWh"
"DIETER";"baseline";"2030";"DEU";"annual";"Total Renewable Generation";"Solar PV";53204410.5384315;"MWh"
